,label,original,hypothesis,modified
245,contradiction,a woman is laying in the grass eating something outside the leaning tower of pizza.,nobody is laying.,nobody is laying.
246,entailment,a woman is laying in the grass eating something outside the leaning tower of pizza.,a human is laying.,a human is laying.
247,neutral,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",the girl is getting her picture taken in front of the tower of piza with her lunch.,the girl is getting her picture taken in front of the tower of piza with her lunch.
248,contradiction,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",people are standing in a queue,people are standing in a queue
249,entailment,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",the girl is outside eating.,the girl is outside eating.
250,neutral,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",there are many tourists at the tower.,there are many tourists at the tower.
251,contradiction,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",a gentleman is in austria,a gentleman is in New Zealand
252,neutral,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",a girl poses for the camera as she eats a sandwich in front of the leaning tower of piza.,a girl poses for the camera as she eats a sandwich in front of the leaning tower of piza.
253,entailment,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",one girl is posing for a photo near the leaning tower.,two girl is posing for a photo near the leaning tower.
254,neutral,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",people are anxious to visit the tower,people are anxious to visit the tower
255,contradiction,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",the family eats pizza while making a movie.,the family eats pizza while making a movie.
256,contradiction,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",there is a crowd in times square ny.,there's a crowd in times square ny.
257,entailment,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",there are people outside.,there are people outside.
258,neutral,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.","people have their pictures taken, one girl is eating a sandwich","people have their pictures taken, two girl is eating a sandwich"
259,entailment,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",peoples' pictures are taken next to the leaning tower of piza,peoples' pictures are taken next to the leaning tower of piza
260,contradiction,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",she is eating gelato outside.,she's eating gelato outside.
261,entailment,"many people are sitting outside the leaning tower of piza, one girl dressed in green is facing the camera and eating a sandwich.",people sit outside the leaning tower of piza being photographed.,people sit outside the leaning tower of piza being photographed.
262,entailment,a woman laying down in the grass in front of the leaning tower of pisa.,a woman is laying down in the grass,a woman is laying down in the grass
263,contradiction,a woman laying down in the grass in front of the leaning tower of pisa.,a woman is sleeping,a woman is sleeping
264,neutral,a woman laying down in the grass in front of the leaning tower of pisa.,a woman is dressed up,a woman is dressed up
265,contradiction,a girl lays in the grass in front of the leaning tower of pisa in italy.,the girl is in poland.,the girl is in poland.
266,contradiction,a girl lays in the grass in front of the leaning tower of pisa in italy.,a girl is touring germany.,a girl is touring Benin.
267,entailment,a girl lays in the grass in front of the leaning tower of pisa in italy.,the girl is outside.,the girl is outside.
268,neutral,a girl lays in the grass in front of the leaning tower of pisa in italy.,a person is lays in the grass reading book in front of the leaning tower of pisa in italy.,a person is lays in the grass reading book in front of the leaning tower of pisa in Myanmar.
269,contradiction,a girl lays in the grass in front of the leaning tower of pisa in italy.,an old man sits in front of the leaning tower of pisa,an old man sits in front of the leaning tower of pisa
